"id","name","code","account_type","chart_template_id/id","reconcile"
"account_activa_account_30201003","UTILIDAD ACUMULADA AJUSTADA POR INFLACION","30201003","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30201004","UTILIDAD DEL EJERCICIO AJUSTADO POR INFLACION","30201004","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30202","PERDIDAS","30202","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30202001","PERDIDA ACUMULADA","30202001","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30202002","PERDIDA DEL EJERCICIO","30202002","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30202003","PERDIDA ACUMULADA AJUSTADA POR INFLACION","30202003","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30202004","PERDIDA DEL EJERCICIO AJUSTADO POR INFLACION","30202004","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_303","RESERVAS","303","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30301","RESERVAS ESTATUTARIAS","30301","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_30301001","RESERVA LEGAL","30301001","Capital","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_4","INGRESOS","4","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_401","INGRESOS OPERACIONALES","401","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_40101","VENTA ","40101","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_40101001","VENTA DE MERCANCIA","40101001","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_402","INGRESOS POR SERVICIO","402","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_40201001","VENTA DE SERVICIOS","40201001","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_403","INGRESOS NO OPERACIONALES","403","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_40301001","OTROS INGRESOS (INTERES BANCARIO GANADO POR EJEMPLO)","40301001","Ingreso","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_5","COSTOS","5","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_501","COSTO DE VENTAS","501","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50101","COSTO DE SOFTWARE (EJEMPLO)","50101","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50101001","COSTO DE (NOMBRE SOFTWARE)","50101001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102","COSTOS DE SERVICIO","50102","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102001","SUELDO PERSONAL DE SOPORTE","50102001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102002","COMISIONES PERSONAL DE SOPORTE","50102002","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102004","VACACIONES PERSONAL DE SOPORTE","50102004","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102005","BONO VACAIONAL PERSONAL DE SOPORTE","50102005","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102006","PRESTACIONES SOCIALES PERSONAL DE SOPORTE","50102006","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50102007","INTERESES S/PRESTACIONES SOCIALES PERSONAL DE SOPORTE","50102007","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50103","OTROS SERVICIOS","50103","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50103001","COSTOS DE CURSO (COSTO DE ASESORIAS ETC)","50103001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50103002","COSTO MOVILIZACION Y TRASLADO","50103002","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50104","COSTO DE CONSUMIBLES","50104","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50104001","PAPELERIA Y ARTICULOS DE OFICINA","50104001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50104001","EQUIPOS Y ACCESORIOS DE COMPUTACION (EJEMPLO)","50104001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_502","CONTRIBUCIONES","502","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50201","CONTRIBUCIONES PARAFISCALES","50201","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50201001","APORTE IVSS Y SPF","50201001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50201002","APORTE F.A.O.V.","50201002","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50201003","APORTE INCES","50201003","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_503","COSTOS OPERATIVOS","503","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301001","COSTOS OPERATIVOS","50301001","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301002","SERVICIO TELEFONO,FAX,CELULAR","50301002","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301003","HIDROLARA","50301003","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301004","CORPOELEC","50301004","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301005","ASEO URBANO","50301005","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301006","SERVICIOS PUBLICOS","50301006","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301007","DEPRECIACION DE ACTIVOS","50301007","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301008","AMORTIZACION DE ACTIVOS","50301008","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301009","MATERIALES Y ARTICULOS DE OFICINA","50301009","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301010","HONORARIOS PROFESIONALES","50301010","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301011","COSTOS DE ALQUILER","50301011","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301012","ALIMENTOS Y BEBIDAS","50301012","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301013","SERVICIOS CONTRATADOS","50301013","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301014","COSTOS DE FLETES Y ENCOMIENDAS","50301014","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301015","REPAR. Y MTTO. MOB Y EQUIPOS.","50301015","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301016","REPARACION Y MANTENIMIENTO DE VEHICULO","50301016","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301017","MEJORAS Y MANTENIMIENTO A PROPIEDAD ARRENDADA","50301017","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301018","EQUIPOS ARTICULOS Y MATERIALES DE OFICINA","50301018","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301019","COSTOS  DE LIMPIEZA, ARTICULOS Y MATERIALES","50301019","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
"account_activa_account_50301020","COSTOS DE EMBALAJE","50301020","Costo de ingresos","l10n_binaural.l10n_chart_template_binaural","True"
